order_id,payment_type,payment_installments,payment_value
ORD0000187,credit_card,1,736.63
ORD0000188,boleto,4,665.56
ORD0000189,credit_card,1,231.76
ORD0000190,voucher,2,1214.52
ORD0000191,credit_card,3,735.97
ORD0000192,debit_card,7,867.4
ORD0000193,voucher,8,1025.36
ORD0000194,debit_card,9,1329.97
ORD0000195,boleto,8,563.73
ORD0000196,debit_card,7,382.14
ORD0000197,debit_card,9,1208.01
ORD0000198,voucher,10,892.37
ORD0000199,credit_card,4,956.27
ORD0000200,credit_card,1,1213.6
ORD0000201,boleto,2,508.35
ORD0000202,credit_card,10,894.71
ORD0000203,debit_card,7,1084.41
ORD0000204,voucher,7,770.51
ORD0000205,boleto,9,1209.12
ORD0000206,debit_card,1,120.19
ORD0000207,boleto,2,1429.05
ORD0000208,debit_card,1,529.42
ORD0000209,credit_card,4,1208.12
ORD0000210,boleto,9,1257.28
ORD0000211,credit_card,5,1180.49
ORD0000212,voucher,5,474.18
ORD0000213,voucher,3,1037.94
ORD0000214,credit_card,10,103.57
ORD0000215,debit_card,2,484.44
ORD0000216,voucher,4,744.97
ORD0000217,credit_card,4,817.67
ORD0000217,boleto,4,259.05
ORD0000218,debit_card,4,506.83
ORD0000218,voucher,4,365.34
ORD0000219,boleto,2,1447.03
ORD0000219,boleto,2,797.06
ORD0000220,boleto,3,408.02
ORD0000221,credit_card,7,1430.72
ORD0000222,voucher,4,1227.47
ORD0000223,credit_card,7,163.05
ORD0000224,debit_card,10,214.82
ORD0000225,credit_card,2,1372.68
ORD0000226,boleto,2,1162.63
ORD0000227,debit_card,3,193.07
ORD0000228,voucher,9,625.62
ORD0000228,debit_card,9,548.86
ORD0000229,voucher,9,68.1
ORD0000230,credit_card,10,973.91
ORD0000231,voucher,8,882.99
ORD0000232,voucher,7,557.42
ORD0000233,boleto,2,1238.65
ORD0000234,debit_card,5,660.23
ORD0000235,voucher,2,540.61
ORD0000236,credit_card,3,1024.11
ORD0000237,credit_card,2,386.38
ORD0000238,boleto,9,1207.96
ORD0000239,boleto,1,1185.5
ORD0000240,debit_card,10,660.87
ORD0000241,credit_card,3,753.09
ORD0000242,boleto,2,1421.14
ORD0000243,boleto,4,622.06
ORD0000243,voucher,4,1232.34
ORD0000244,debit_card,3,849.59
ORD0000245,voucher,8,458.63
ORD0000246,voucher,5,688.29
ORD0000247,voucher,10,1429.3
ORD0000248,debit_card,10,819.29
ORD0000249,debit_card,8,82.87
ORD0000250,credit_card,3,727.67
ORD0000250,credit_card,3,739.34
ORD0000251,voucher,10,422.1
ORD0000252,boleto,9,882.2
ORD0000253,voucher,3,749.68
ORD0000254,boleto,5,885.69
ORD0000255,voucher,6,1410.58
ORD0000256,debit_card,5,1425.93
ORD0000257,debit_card,1,363.29
ORD0000258,credit_card,7,814.43
ORD0000259,boleto,9,419.54
ORD0000260,debit_card,10,965.07
ORD0000261,voucher,8,313.09
ORD0000262,boleto,10,874.75
ORD0000263,credit_card,6,556.58
ORD0000264,voucher,2,778.85
ORD0000265,credit_card,5,118.77
ORD0000266,boleto,1,1093.59
ORD0000267,credit_card,1,645.52
ORD0000268,boleto,10,819.03
ORD0000269,credit_card,4,63.39
ORD0000270,debit_card,4,1277.41
ORD0000271,boleto,8,124.33
ORD0000272,boleto,9,222.58
ORD0000273,voucher,4,88.11
ORD0000273,voucher,4,596.82
ORD0000274,credit_card,6,1137.85
ORD0000275,voucher,3,110.62
ORD0000276,debit_card,2,561.83
ORD0000277,boleto,10,501.84
ORD0000277,credit_card,10,447.01
ORD0000278,debit_card,8,55.37
ORD0000279,boleto,6,306.47
ORD0000280,boleto,8,999.58
ORD0000281,boleto,10,899.42
ORD0000282,credit_card,4,1105.96
ORD0000283,debit_card,9,431.4
ORD0000283,credit_card,9,101.92
ORD0000284,boleto,4,592.26
ORD0000285,boleto,5,267.42
ORD0000286,debit_card,8,81.38
ORD0000287,voucher,4,577.99
ORD0000288,voucher,10,424.69
ORD0000289,boleto,8,1289.55
ORD0000290,voucher,7,1399.68
ORD0000291,boleto,4,344.55
ORD0000292,debit_card,3,85.12
ORD0000293,boleto,4,221.49
ORD0000294,debit_card,6,168.45
ORD0000295,boleto,6,471.7
ORD0000296,debit_card,2,344.07
ORD0000297,credit_card,9,1101.64
ORD0000298,boleto,2,447.69
ORD0000299,voucher,3,181.97
ORD0000300,debit_card,10,1472.14
ORD0000301,debit_card,10,568.34
ORD0000302,boleto,9,240.45
ORD0000303,debit_card,4,1157.13
ORD0000304,credit_card,1,1235.53
ORD0000305,boleto,10,623.11
ORD0000306,credit_card,6,427.87
ORD0000307,voucher,5,440.49
ORD0000308,debit_card,3,1383.7
ORD0000309,boleto,7,262.1
ORD0000310,boleto,5,320.15
ORD0000311,debit_card,6,964.11
ORD0000312,debit_card,4,821.23
ORD0000313,boleto,10,1467.91
ORD0000313,credit_card,10,178.52
ORD0000314,voucher,7,339.06
ORD0000315,voucher,7,532.59
ORD0000316,debit_card,10,678.32
ORD0000317,credit_card,8,544.42
ORD0000318,credit_card,8,555.31
ORD0000319,boleto,9,1364.23
ORD0000320,boleto,4,561.76
ORD0000321,voucher,6,45.33
ORD0000322,voucher,9,187.6
ORD0000323,voucher,4,143.08
ORD0000324,boleto,8,1236.24
ORD0000325,boleto,3,67.47
ORD0000326,boleto,8,1446.41
ORD0000327,boleto,3,953.49
ORD0000328,debit_card,1,817.64
ORD0000329,debit_card,9,643.38
ORD0000330,credit_card,8,944.47
ORD0000330,debit_card,8,1213.88
ORD0000331,debit_card,9,1207.55
ORD0000332,debit_card,10,482.86
ORD0000333,boleto,2,944.98
ORD0000334,credit_card,10,147.89
ORD0000335,voucher,10,881.14
ORD0000335,boleto,10,798.51
ORD0000336,boleto,1,236.66
ORD0000337,boleto,4,934.18
ORD0000338,debit_card,5,302.85
ORD0000339,credit_card,3,1051.29
ORD0000340,credit_card,4,1274.32
ORD0000340,voucher,4,1174.96
ORD0000341,debit_card,4,1372.05
ORD0000342,credit_card,2,998.82
ORD0000343,credit_card,5,1471.59
ORD0000344,voucher,7,1246.77
ORD0000345,debit_card,5,1199.54
ORD0000346,boleto,3,940.31
ORD0000347,debit_card,10,850.95
ORD0000348,credit_card,1,800.03
ORD0000349,credit_card,8,314.68
ORD0000349,boleto,8,635.98
ORD0000350,voucher,9,1291.07
ORD0000351,credit_card,10,317.79
ORD0000352,debit_card,10,382.85
ORD0000353,voucher,1,334.75
ORD0000354,boleto,10,169.25
ORD0000355,voucher,1,1312.61
ORD0000356,boleto,3,372.52
ORD0000357,credit_card,7,1150.82
ORD0000358,debit_card,10,239.46
ORD0000358,boleto,10,1074.38
ORD0000359,credit_card,3,78.04
ORD0000360,credit_card,2,1373.87
ORD0000361,debit_card,10,1215.61
ORD0000362,credit_card,8,436.63
ORD0000363,credit_card,3,880.79
ORD0000364,debit_card,8,1268.91
ORD0000365,credit_card,4,1458.13
ORD0000366,voucher,5,317.69
ORD0000366,voucher,5,226.62
ORD0000367,voucher,7,1120.41
ORD0000368,credit_card,8,402.64
ORD0000369,voucher,3,39.18
ORD0000370,boleto,3,357.72
ORD0000371,voucher,8,78.5
ORD0000372,voucher,5,781.6
ORD0000373,boleto,5,1488.78
ORD0000373,credit_card,5,1201.87
ORD0000374,debit_card,2,1077.96
ORD0000374,debit_card,2,1420.24
ORD0000375,boleto,7,1109.16
ORD0000376,debit_card,4,260.7
ORD0000377,debit_card,6,570.83
ORD0000378,debit_card,4,328.64
ORD0000379,credit_card,1,1237.11
ORD0000380,credit_card,10,28.74
ORD0000381,boleto,8,276.49
ORD0000382,voucher,4,804.07
ORD0000383,boleto,5,991.73
ORD0000384,boleto,5,233.37
ORD0000385,credit_card,1,402.64
ORD0000386,boleto,3,1343.21
ORD0000387,voucher,7,1137.29
ORD0000388,debit_card,1,179.89
ORD0000389,credit_card,6,739.24
ORD0000390,credit_card,3,61.49
ORD0000391,boleto,10,1053.16
ORD0000392,credit_card,4,664.2
ORD0000393,debit_card,7,1421.34
ORD0000394,debit_card,3,1004.05
ORD0000394,debit_card,3,452.1
ORD0000395,credit_card,2,679.2
ORD0000396,credit_card,7,238.1
ORD0000397,voucher,7,1182.52
ORD0000398,debit_card,7,467.12
ORD0000399,debit_card,3,564.05
ORD0000400,boleto,1,834.2
ORD0000401,voucher,8,627.67
ORD0000402,boleto,5,511.44
ORD0000403,debit_card,6,580.99
ORD0000404,boleto,8,80.44
ORD0000405,debit_card,8,777.34
ORD0000406,credit_card,3,367.11
ORD0000407,boleto,5,1318.25
ORD0000408,debit_card,5,1126.68
ORD0000408,boleto,5,1433.09
ORD0000409,debit_card,2,961.63
ORD0000410,boleto,8,579.41
ORD0000411,boleto,10,1333.23
ORD0000412,boleto,1,1087.76
ORD0000413,voucher,1,302.49
ORD0000413,credit_card,1,1382.23
ORD0000414,credit_card,10,1088.98
ORD0000415,credit_card,3,1263.41
ORD0000416,boleto,3,763.87
ORD0000417,voucher,10,568.34
ORD0000418,boleto,7,738.59
ORD0000418,credit_card,7,95.17
ORD0000419,voucher,10,441.66
ORD0000420,debit_card,1,595.71
ORD0000421,voucher,7,1064.94
ORD0000422,credit_card,10,1004.55
ORD0000423,voucher,7,112.95
ORD0000424,debit_card,3,492.44
ORD0000425,boleto,8,734.07
ORD0000426,voucher,2,196.57
ORD0000427,debit_card,9,668.99
ORD0000428,debit_card,9,1200.51
ORD0000429,voucher,1,421.21
ORD0000430,boleto,7,1212.39
ORD0000431,boleto,7,1009.07
ORD0000432,boleto,2,307.35
ORD0000433,boleto,5,1454.9
ORD0000434,credit_card,7,1446.38
ORD0000435,debit_card,4,1466.23
ORD0000436,debit_card,1,67.45
ORD0000436,boleto,1,715.34
ORD0000437,credit_card,7,378.07
ORD0000438,debit_card,10,664.39
ORD0000439,credit_card,10,417.47
ORD0000440,credit_card,7,85.61
ORD0000441,credit_card,4,884.2
ORD0000442,voucher,4,417.07
ORD0000443,debit_card,2,146.42
ORD0000444,debit_card,3,922.07
ORD0000445,debit_card,3,990.86
ORD0000446,voucher,6,1379.73
ORD0000447,credit_card,5,937.56
ORD0000448,credit_card,6,791.59
ORD0000449,debit_card,1,588.08
ORD0000450,voucher,4,39.54
ORD0000451,credit_card,7,1367.91
ORD0000452,boleto,2,1394.83
ORD0000453,debit_card,4,317.08
ORD0000454,credit_card,3,417.79
ORD0000455,debit_card,3,401.47
ORD0000456,credit_card,6,619.74
ORD0000457,debit_card,5,1367.52
ORD0000458,debit_card,3,836.33
ORD0000459,credit_card,10,555.23
ORD0000460,debit_card,1,1042.71
ORD0000461,credit_card,10,669.53
ORD0000462,credit_card,10,646.9
ORD0000463,credit_card,9,225.97
ORD0000464,debit_card,1,65.36
ORD0000465,boleto,9,1427.18
ORD0000466,debit_card,9,119.06
ORD0000467,debit_card,7,537.08
ORD0000468,credit_card,6,1469.98
ORD0000469,boleto,1,1266.1
ORD0000470,debit_card,8,1379.01
ORD0000471,voucher,7,1198.53
ORD0000472,debit_card,5,1000.91
ORD0000473,debit_card,6,122.63
ORD0000473,voucher,6,665.9
ORD0000474,voucher,7,115.09
ORD0000475,debit_card,2,1192.25
ORD0000476,credit_card,9,279.03
ORD0000477,boleto,5,1379.01
ORD0000478,debit_card,5,444.77
ORD0000479,voucher,9,1331.43
ORD0000480,credit_card,9,918.39
ORD0000481,credit_card,9,969.22
ORD0000482,boleto,7,1364.1
ORD0000483,credit_card,1,1122.82
ORD0000484,boleto,8,923.43
ORD0000485,credit_card,5,176.3
ORD0000486,credit_card,3,1467.45
ORD0000487,voucher,9,119.88
ORD0000488,boleto,7,575.1
ORD0000489,credit_card,4,1165.34
ORD0000490,voucher,5,647.54
ORD0000491,boleto,2,943.34
ORD0000492,credit_card,3,1437.08
ORD0000493,voucher,9,262.3
ORD0000494,boleto,10,200.01
ORD0000495,boleto,3,137.39
ORD0000495,voucher,3,1311.21
ORD0000496,debit_card,10,952.27
ORD0000497,voucher,1,1309.55
ORD0000498,boleto,10,135.68
ORD0000499,credit_card,3,580.57
ORD0000500,voucher,4,1310.62
ORD0000500,voucher,4,381.86
ORD0000501,voucher,9,533.35
ORD0000502,boleto,3,812.9
ORD0000503,voucher,9,318.77
ORD0000504,credit_card,5,408.89
ORD0000504,debit_card,5,633.55
ORD0000505,boleto,8,26.69
ORD0000506,credit_card,3,1253.05
ORD0000506,credit_card,3,809.06
ORD0000507,debit_card,1,962.79
ORD0000508,boleto,9,238.7
ORD0000509,credit_card,5,137.85
ORD0000510,credit_card,9,149.95
ORD0000511,debit_card,1,378.02
ORD0000512,credit_card,9,1226.38
ORD0000513,credit_card,6,692.84
ORD0000514,credit_card,9,657.66
ORD0000515,credit_card,6,1002.59
ORD0000516,boleto,6,433.75
ORD0000517,credit_card,1,1201.11
ORD0000518,credit_card,8,629.83
ORD0000519,debit_card,8,489.92
ORD0000520,voucher,10,403.43
ORD0000521,debit_card,2,159.1
ORD0000522,credit_card,7,1327.91
ORD0000522,boleto,7,984.98
ORD0000523,boleto,6,858.55
ORD0000524,voucher,1,1020.53
ORD0000525,boleto,3,1359.2
ORD0000526,debit_card,9,613.51
ORD0000527,credit_card,7,192.4
ORD0000528,credit_card,1,158.44
ORD0000529,boleto,10,108.62
ORD0000529,debit_card,10,361.75
ORD0000530,debit_card,7,495.98
ORD0000531,credit_card,8,920.47
ORD0000532,debit_card,6,264.39
ORD0000533,credit_card,5,986.66
ORD0000533,debit_card,5,1221.77
ORD0000534,debit_card,7,1465.59
ORD0000534,boleto,7,980.04
ORD0000535,boleto,8,529.91
ORD0000536,debit_card,1,1414.73
ORD0000537,credit_card,4,251.53
ORD0000538,credit_card,6,1000.74
ORD0000539,credit_card,10,278.5
ORD0000539,boleto,10,1475.88
ORD0000540,debit_card,9,159.07
ORD0000541,credit_card,2,301.29
ORD0000542,credit_card,9,692.79
ORD0000543,credit_card,2,1342.69
ORD0000544,voucher,1,1082.56
ORD0000544,boleto,1,776.85
ORD0000545,debit_card,10,354.15
ORD0000546,boleto,6,502.08
ORD0000547,credit_card,7,937.42
ORD0000548,credit_card,4,33.4
ORD0000549,debit_card,4,311.04
ORD0000550,debit_card,6,1399.74
ORD0000551,credit_card,9,510.21
ORD0000552,debit_card,1,752.63
ORD0000553,boleto,4,1160.96
ORD0000554,credit_card,7,450.18
ORD0000555,debit_card,5,411.12
ORD0000556,voucher,6,683.37
ORD0000557,credit_card,2,1337.77
ORD0000558,debit_card,7,1433.2
ORD0000559,voucher,8,1275.44
ORD0000560,debit_card,6,1403.6
ORD0000561,credit_card,10,280.37
ORD0000562,credit_card,3,1025.36
ORD0000563,debit_card,10,859.89
ORD0000564,credit_card,5,117.25
ORD0000565,debit_card,6,1232.03
ORD0000566,boleto,5,678.03
ORD0000567,voucher,5,1274.69
ORD0000568,boleto,9,1262.79
ORD0000569,voucher,3,63.23
ORD0000570,credit_card,4,1464.63
ORD0000571,boleto,2,259.9
ORD0000572,voucher,10,307.95
ORD0000573,credit_card,6,178.44
ORD0000574,voucher,4,191.89
ORD0000575,credit_card,10,111.35
ORD0000576,credit_card,1,673.93
ORD0000577,credit_card,5,859.6
ORD0000578,boleto,4,457.7
ORD0000579,credit_card,2,29.01
ORD0000580,credit_card,8,1030.82
ORD0000581,credit_card,5,128.43
ORD0000582,boleto,10,1196.13
ORD0000583,debit_card,9,705.65
ORD0000584,voucher,8,1123.81
ORD0000585,boleto,10,1372.56
ORD0000586,boleto,8,194.53
ORD0000587,boleto,8,128.47
ORD0000588,debit_card,3,913.49
ORD0000589,debit_card,1,1116.2
ORD0000589,voucher,1,1425.48
ORD0000590,debit_card,3,1425.39
ORD0000591,debit_card,8,302.34
ORD0000592,debit_card,9,305.47
ORD0000593,voucher,4,446.73
ORD0000593,boleto,4,483.99
ORD0000594,voucher,5,623.5
ORD0000595,voucher,5,1499.58
ORD0000596,credit_card,3,1312.5
ORD0000597,credit_card,7,320.32
ORD0000598,boleto,4,1467.49
ORD0000599,credit_card,10,1068.54
ORD0000600,voucher,1,591.53
ORD0000601,voucher,8,69.65
ORD0000602,credit_card,9,1141.89
ORD0000603,debit_card,8,171.48
ORD0000604,credit_card,10,820.26
ORD0000605,voucher,2,1401.05
ORD0000606,debit_card,8,1050.65
ORD0000607,debit_card,3,495.88
ORD0000607,credit_card,3,709.35
ORD0000608,debit_card,4,142.57
ORD0000609,boleto,4,72.55
ORD0000610,boleto,7,1166.6
ORD0000610,boleto,7,307.07
ORD0000611,credit_card,9,970.45
ORD0000612,debit_card,10,853.23
ORD0000613,credit_card,2,1188.18
ORD0000614,boleto,8,1486.26
ORD0000615,debit_card,10,697.2
ORD0000616,debit_card,8,1184.72
ORD0000617,credit_card,9,583.53
ORD0000618,credit_card,8,1141.38
ORD0000619,boleto,9,622.35
ORD0000619,voucher,9,879.26
ORD0000620,boleto,8,1399.18
ORD0000620,credit_card,8,1497.9
ORD0000621,boleto,2,146.09
ORD0000622,debit_card,10,1336.61
ORD0000623,debit_card,10,1136.8
ORD0000624,debit_card,2,722.78
ORD0000625,boleto,10,840.14
ORD0000626,debit_card,7,789.0
ORD0000627,voucher,8,33.83
ORD0000628,credit_card,6,209.51
ORD0000629,debit_card,3,778.32
ORD0000630,debit_card,4,38.7
ORD0000631,debit_card,10,736.38
ORD0000632,boleto,6,1143.85
ORD0000633,credit_card,8,1459.42
ORD0000634,boleto,6,338.04
ORD0000635,credit_card,10,894.44
ORD0000636,boleto,10,641.25
ORD0000637,boleto,5,194.02
ORD0000638,debit_card,3,118.5
ORD0000638,credit_card,3,889.81
ORD0000639,boleto,3,729.23
ORD0000639,voucher,3,578.78
ORD0000640,boleto,4,1465.28
ORD0000641,boleto,8,1407.98
ORD0000642,boleto,5,664.78
ORD0000643,debit_card,8,333.34
ORD0000644,boleto,3,523.64
ORD0000644,boleto,3,738.98
ORD0000645,boleto,5,438.3
ORD0000646,credit_card,8,1056.05
ORD0000647,boleto,7,1155.73
ORD0000648,voucher,7,731.62
ORD0000649,debit_card,5,61.66
ORD0000650,credit_card,5,359.6
ORD0000651,debit_card,7,602.17
ORD0000652,debit_card,3,232.43
ORD0000653,boleto,2,1472.84
ORD0000654,credit_card,7,909.47
ORD0000655,credit_card,5,615.33
ORD0000655,credit_card,5,106.65
ORD0000656,voucher,6,1036.18
ORD0000657,boleto,7,1029.62
ORD0000658,boleto,3,722.75
ORD0000659,boleto,5,247.97
ORD0000659,boleto,5,1085.56
ORD0000660,debit_card,3,848.94
ORD0000660,debit_card,3,1417.34
ORD0000661,credit_card,5,575.79
ORD0000662,debit_card,4,1224.71
ORD0000663,voucher,5,797.49
ORD0000664,boleto,1,336.2
ORD0000665,credit_card,2,1129.53
ORD0000665,debit_card,2,472.51
ORD0000666,debit_card,7,1413.83
ORD0000667,debit_card,9,752.85
ORD0000668,voucher,3,1093.67
ORD0000669,voucher,8,1257.8
ORD0000670,credit_card,6,691.67
ORD0000671,voucher,7,473.14
ORD0000672,boleto,4,161.86
ORD0000673,debit_card,2,479.66
ORD0000674,voucher,1,1154.2
ORD0000675,voucher,5,137.27
ORD0000676,credit_card,7,94.66
ORD0000677,boleto,3,651.98
ORD0000678,debit_card,6,749.6
ORD0000679,debit_card,3,575.64
ORD0000680,credit_card,5,1337.21
ORD0000681,voucher,2,793.87
ORD0000682,debit_card,9,553.65
ORD0000683,debit_card,9,172.95
ORD0000684,credit_card,3,1044.17
ORD0000685,debit_card,4,816.69
ORD0000686,voucher,8,1479.98
ORD0000687,debit_card,3,654.42
ORD0000688,voucher,5,476.3
ORD0000688,debit_card,5,1208.44
ORD0000689,voucher,10,995.94
ORD0000690,credit_card,10,395.85
ORD0000691,debit_card,9,228.01
ORD0000692,voucher,4,1097.4
ORD0000693,credit_card,8,436.9
ORD0000694,boleto,10,1387.47
ORD0000695,credit_card,3,242.9
ORD0000696,voucher,10,359.17
ORD0000697,voucher,3,196.53
ORD0000698,debit_card,7,1051.35
ORD0000699,debit_card,1,851.23
ORD0000700,credit_card,7,1267.05
ORD0000701,boleto,1,782.24
ORD0000702,credit_card,5,123.4
ORD0000703,boleto,2,62.64
ORD0000703,voucher,2,69.92
ORD0000704,voucher,2,566.8
ORD0000705,debit_card,3,1474.99
