review_id,order_id,review_score,review_comment_title,review_creation_date
REV000080,ORD0000690,5,Exactly what I needed,2023-12-30 01:05:59
REV000081,ORD0002443,3,Poor quality,2024-09-13 00:24:47
REV000082,ORD0000503,5,Poor quality,2023-05-03 03:11:49
REV000083,ORD0001849,4,Would buy again,2023-09-15 22:25:30
REV000084,ORD0000423,4,Great product,2023-05-12 06:02:46
REV000085,ORD0000672,4,Exactly what I needed,2024-12-06 22:18:41
REV000086,ORD0001022,5,Fast delivery,2023-07-14 04:36:26
REV000087,ORD0000764,4,Great product,2024-09-27 04:33:42
REV000088,ORD0000215,5,,2024-04-05 07:00:00
REV000089,ORD0002449,5,Great product,2024-07-12 08:27:29
REV000090,ORD0001324,5,Great product,2024-05-16 07:09:36
REV000091,ORD0001353,4,Fast delivery,2023-10-26 22:21:26
REV000092,ORD0001254,5,Late delivery,2023-03-17 00:29:34
REV000093,ORD0000007,5,Poor quality,2023-10-22 16:13:57
REV000094,ORD0002543,5,Late delivery,2023-05-31 11:17:24
REV000095,ORD0000799,4,,2023-10-09 05:17:28
REV000096,ORD0001145,3,,2023-09-10 17:28:37
REV000097,ORD0000939,5,Fast delivery,2024-04-17 20:00:13
REV000098,ORD0001543,5,,2023-01-06 13:18:01
REV000099,ORD0002091,4,Not as expected,2024-12-23 03:18:46
REV000100,ORD0002623,3,Not as expected,2023-06-26 08:28:20
REV000101,ORD0002212,5,Fast delivery,2024-07-30 13:52:09
REV000102,ORD0001707,4,Late delivery,2024-02-03 04:40:54
REV000103,ORD0002346,4,Late delivery,2023-09-08 06:36:45
REV000104,ORD0000432,5,Not as expected,2024-07-28 20:08:28
REV000105,ORD0002903,2,,2024-11-09 13:28:40
REV000106,ORD0002254,5,Great product,2023-01-09 17:45:37
REV000107,ORD0000226,3,Not as expected,2024-11-03 01:11:52
REV000108,ORD0000880,2,Poor quality,2024-04-14 14:35:02
REV000109,ORD0000113,1,Poor quality,2023-02-12 08:42:16
REV000110,ORD0001606,4,Not as expected,2023-10-20 11:46:52
REV000111,ORD0001677,4,Great product,2023-05-09 03:59:25
REV000112,ORD0001524,5,Exactly what I needed,2024-03-15 05:15:06
REV000113,ORD0002929,3,Great product,2024-09-10 15:35:32
REV000114,ORD0002814,4,Poor quality,2023-08-03 06:13:43
REV000115,ORD0002367,1,Great product,2023-12-25 16:57:10
REV000116,ORD0000815,4,Fast delivery,2023-09-30 07:47:36
REV000117,ORD0000080,5,Fast delivery,2023-04-05 18:58:01
REV000118,ORD0000110,5,,2024-12-24 18:39:29
REV000119,ORD0002596,4,Poor quality,2023-02-13 20:29:53
REV000120,ORD0002491,5,Great product,2024-11-01 13:17:24
REV000121,ORD0000158,5,Poor quality,2024-01-30 11:28:49
REV000122,ORD0002968,5,Not as expected,2023-07-09 07:25:46
REV000123,ORD0002081,4,Poor quality,2024-08-31 08:28:02
REV000124,ORD0002760,5,Exactly what I needed,2024-10-28 12:31:19
REV000125,ORD0001970,2,Not as expected,2024-02-03 10:32:22
REV000126,ORD0001310,5,,2023-04-21 22:19:36
REV000127,ORD0002626,4,Fast delivery,2024-04-15 14:34:00
REV000128,ORD0001357,3,Not as expected,2023-12-28 06:17:38
REV000129,ORD0002924,4,Not as expected,2023-05-28 04:11:17
REV000130,ORD0001840,4,Poor quality,2024-10-26 09:58:48
REV000131,ORD0001574,3,Would buy again,2024-04-04 21:44:27
REV000132,ORD0000328,5,Would buy again,2024-05-02 01:24:37
REV000133,ORD0000959,4,Exactly what I needed,2024-12-04 17:51:13
REV000134,ORD0001089,5,Not as expected,2024-07-24 10:56:37
REV000135,ORD0000745,5,,2023-02-16 19:13:53
REV000136,ORD0002279,5,,2023-09-23 22:54:28
REV000137,ORD0000534,5,,2023-11-02 04:47:56
REV000138,ORD0000946,4,Not as expected,2024-08-04 22:20:22
REV000139,ORD0000790,5,Fast delivery,2023-10-17 18:06:49
REV000140,ORD0001120,4,Late delivery,2023-07-26 13:06:33
REV000141,ORD0001106,1,Fast delivery,2024-06-26 06:07:41
REV000142,ORD0002922,4,Poor quality,2024-03-21 17:29:42
REV000143,ORD0000085,4,Great product,2024-07-13 02:33:10
REV000144,ORD0002844,4,,2024-11-27 22:15:39
REV000145,ORD0001028,4,Fast delivery,2024-04-22 17:12:58
REV000146,ORD0001944,5,,2023-11-29 20:42:05
REV000147,ORD0000369,1,Poor quality,2024-01-04 16:05:47
REV000148,ORD0002976,4,Great product,2024-10-26 04:23:17
REV000149,ORD0000704,4,Fast delivery,2023-09-05 17:58:09
REV000150,ORD0001987,5,Not as expected,2024-01-05 20:18:20
REV000151,ORD0000545,5,Fast delivery,2024-01-19 05:11:39
REV000152,ORD0000046,4,,2023-05-15 03:03:55
REV000153,ORD0001420,2,,2024-06-01 23:36:43
REV000154,ORD0000330,5,,2024-07-18 01:23:19
REV000155,ORD0002949,3,,2024-01-30 21:41:25
REV000156,ORD0002471,5,Late delivery,2023-09-22 06:52:44
REV000157,ORD0001460,1,Poor quality,2023-03-03 03:57:54
REV000158,ORD0001167,5,Poor quality,2023-10-17 18:09:59
REV000159,ORD0000400,5,,2024-08-03 08:42:41
REV000160,ORD0001190,5,Late delivery,2023-11-24 04:40:09
REV000161,ORD0002331,3,Poor quality,2024-04-24 18:37:22
REV000162,ORD0002980,4,Not as expected,2024-03-03 03:43:20
REV000163,ORD0001741,5,Fast delivery,2024-08-27 20:33:34
REV000164,ORD0000480,4,Would buy again,2023-06-03 07:44:00
REV000165,ORD0002637,1,Not as expected,2023-09-23 08:01:48
REV000166,ORD0000364,4,Would buy again,2023-05-25 12:30:14
REV000167,ORD0000324,3,Poor quality,2024-12-29 12:24:13
REV000168,ORD0000613,3,Not as expected,2023-01-28 05:56:25
REV000169,ORD0002162,4,Not as expected,2024-02-27 20:48:53
REV000170,ORD0002995,5,Would buy again,2023-02-02 15:02:39
REV000171,ORD0000602,5,,2024-09-03 03:48:03
REV000172,ORD0001304,3,,2023-03-20 16:00:32
REV000173,ORD0001685,1,,2024-03-25 18:58:20
REV000174,ORD0002628,3,,2023-12-11 23:08:32
REV000175,ORD0000368,1,,2024-04-11 03:00:44
REV000176,ORD0002446,5,Great product,2023-02-02 08:04:41
REV000177,ORD0001617,5,Poor quality,2024-02-14 15:28:18
REV000178,ORD0000709,5,Not as expected,2023-03-20 18:03:15
REV000179,ORD0000988,5,Poor quality,2023-04-10 20:10:22
REV000180,ORD0000551,5,Poor quality,2023-11-07 03:31:27
REV000181,ORD0002602,1,Late delivery,2023-01-23 14:17:28
REV000182,ORD0001649,3,,2023-08-03 07:16:47
REV000183,ORD0002182,5,Late delivery,2024-10-31 02:17:13
REV000184,ORD0001713,2,Fast delivery,2023-11-09 04:57:24
REV000185,ORD0002945,5,Great product,2023-12-16 21:58:51
REV000186,ORD0001505,3,,2023-02-16 20:21:49
REV000187,ORD0000366,5,Poor quality,2024-06-23 12:54:06
REV000188,ORD0000789,4,Exactly what I needed,2024-09-07 07:56:43
REV000189,ORD0001916,5,Late delivery,2024-04-16 11:43:34
REV000190,ORD0001953,1,Not as expected,2023-02-07 05:01:24
REV000191,ORD0000584,3,Not as expected,2024-03-24 15:07:12
REV000192,ORD0001941,5,,2024-03-27 09:01:58
REV000193,ORD0001622,5,,2024-12-17 23:23:27
REV000194,ORD0002736,5,Exactly what I needed,2023-07-28 05:07:55
REV000195,ORD0002462,5,Great product,2023-01-05 05:13:25
REV000196,ORD0000017,4,Not as expected,2024-11-14 19:46:43
REV000197,ORD0001455,5,Exactly what I needed,2024-03-31 09:03:17
REV000198,ORD0001480,3,Would buy again,2024-04-25 22:59:44
REV000199,ORD0001464,5,Fast delivery,2023-02-16 16:30:45
REV000200,ORD0002460,3,Poor quality,2024-06-02 10:18:35
REV000201,ORD0000045,5,Great product,2024-09-05 14:41:51
REV000202,ORD0002101,4,,2024-02-16 08:39:09
REV000203,ORD0001154,5,Would buy again,2023-09-08 21:27:18
REV000204,ORD0002703,5,Not as expected,2023-08-19 22:05:23
REV000205,ORD0002119,5,Exactly what I needed,2023-06-20 06:41:24
REV000206,ORD0000845,1,Not as expected,2024-11-28 22:39:13
REV000207,ORD0000440,2,Late delivery,2024-01-13 23:21:36
REV000208,ORD0000061,1,Would buy again,2024-11-18 03:43:15
REV000209,ORD0000886,3,Not as expected,2023-02-14 10:07:05
REV000210,ORD0002865,4,Poor quality,2023-09-07 18:11:06
REV000211,ORD0001268,3,Exactly what I needed,2024-06-13 22:53:31
REV000212,ORD0001678,5,Poor quality,2023-11-28 11:34:25
REV000213,ORD0002436,4,Poor quality,2024-12-21 22:07:38
REV000214,ORD0001092,5,Would buy again,2023-10-17 08:26:21
REV000215,ORD0000882,5,Not as expected,2023-04-08 10:24:28
REV000216,ORD0000235,5,Fast delivery,2023-10-26 04:12:25
REV000217,ORD0001845,5,Exactly what I needed,2023-05-23 13:13:51
REV000218,ORD0001155,4,Not as expected,2023-07-28 20:50:44
REV000219,ORD0002786,5,Would buy again,2024-10-26 23:10:30
REV000220,ORD0002056,5,Not as expected,2024-01-29 22:54:05
REV000221,ORD0002672,5,Late delivery,2023-09-08 09:08:36
REV000222,ORD0000712,5,,2023-09-20 18:34:19
REV000223,ORD0000193,4,,2023-06-23 04:10:24
REV000224,ORD0002480,5,,2024-12-29 03:46:43
REV000225,ORD0001943,5,Great product,2023-03-07 01:29:11
REV000226,ORD0002645,5,Not as expected,2023-05-19 16:18:04
REV000227,ORD0001661,5,Fast delivery,2023-08-20 12:27:52
REV000228,ORD0002057,3,Fast delivery,2024-12-10 07:13:55
REV000229,ORD0000304,5,Not as expected,2023-02-21 06:49:06
REV000230,ORD0000594,5,Great product,2023-12-15 21:44:53
REV000231,ORD0001919,3,,2024-03-16 09:09:25
REV000232,ORD0002099,5,Poor quality,2023-04-23 13:49:59
REV000233,ORD0002052,5,Not as expected,2024-11-25 22:21:34
REV000234,ORD0002114,4,Not as expected,2023-08-05 18:13:38
REV000235,ORD0002532,4,,2023-09-03 21:37:26
REV000236,ORD0000001,4,Great product,2023-03-12 21:13:32
REV000237,ORD0000277,5,,2023-02-14 00:36:23
REV000238,ORD0002629,4,,2024-07-26 10:00:32
REV000239,ORD0000735,1,Not as expected,2023-08-02 19:50:55
REV000240,ORD0000601,4,Great product,2023-04-24 11:42:08
REV000241,ORD0001660,5,Late delivery,2023-12-18 09:26:56
REV000242,ORD0002547,5,Not as expected,2024-06-05 04:34:34
REV000243,ORD0002315,5,Exactly what I needed,2024-08-19 13:21:30
REV000244,ORD0001446,5,Great product,2023-08-06 21:07:18
REV000245,ORD0000361,5,Fast delivery,2024-07-13 15:55:55
REV000246,ORD0002490,5,Fast delivery,2023-07-16 19:39:48
REV000247,ORD0000208,3,Great product,2023-02-02 00:42:25
REV000248,ORD0001719,5,Exactly what I needed,2023-03-05 08:22:01
REV000249,ORD0000695,1,,2024-09-14 17:38:53
REV000250,ORD0002483,5,Fast delivery,2024-09-01 09:25:57
REV000251,ORD0001246,5,,2024-04-15 08:17:47
REV000252,ORD0001238,5,,2023-11-01 08:24:15
REV000253,ORD0002885,4,Late delivery,2023-07-13 12:57:41
REV000254,ORD0000106,5,Poor quality,2023-04-06 07:43:52
REV000255,ORD0001516,4,Would buy again,2023-11-19 18:17:10
REV000256,ORD0000710,5,Not as expected,2024-11-15 01:27:17
REV000257,ORD0000090,3,,2023-08-02 07:22:48
REV000258,ORD0000823,2,Exactly what I needed,2023-01-11 12:56:41
REV000259,ORD0000153,5,Would buy again,2023-03-20 11:36:41
REV000260,ORD0001728,4,Fast delivery,2024-08-02 21:02:07
REV000261,ORD0001381,5,,2024-12-10 22:09:15
REV000262,ORD0001992,5,Not as expected,2023-11-11 08:43:39
REV000263,ORD0000418,3,Late delivery,2024-04-01 23:56:11
REV000264,ORD0000593,4,Exactly what I needed,2024-03-22 22:51:22
REV000265,ORD0002293,5,Not as expected,2023-12-24 21:23:00
REV000266,ORD0002042,5,Late delivery,2023-07-15 20:57:59
REV000267,ORD0001451,5,,2023-05-25 22:28:12
REV000268,ORD0000849,2,Would buy again,2024-07-19 05:50:11
REV000269,ORD0000895,5,Fast delivery,2023-02-16 05:59:05
REV000270,ORD0002721,4,,2023-01-15 12:17:23
REV000271,ORD0001182,4,Late delivery,2023-08-02 14:51:39
REV000272,ORD0002072,5,Poor quality,2024-11-17 01:17:19
REV000273,ORD0000081,5,,2023-03-04 10:25:54
REV000274,ORD0002664,5,Poor quality,2024-08-11 15:09:20
REV000275,ORD0002294,2,,2023-11-21 12:09:45
REV000276,ORD0000078,3,Not as expected,2024-01-14 05:14:13
REV000277,ORD0000303,5,Exactly what I needed,2024-09-20 06:06:45
REV000278,ORD0000804,5,Late delivery,2023-12-23 02:10:09
REV000279,ORD0001791,4,Not as expected,2024-09-07 15:51:26
REV000280,ORD0000230,5,Fast delivery,2023-04-05 01:59:06
REV000281,ORD0001263,5,Fast delivery,2023-12-24 00:38:30
REV000282,ORD0002307,3,Late delivery,2023-12-20 01:56:42
REV000283,ORD0001206,4,Exactly what I needed,2024-05-31 09:08:20
REV000284,ORD0002998,4,Poor quality,2024-05-16 03:42:12
REV000285,ORD0001059,3,,2023-08-17 07:38:31
REV000286,ORD0000530,5,Not as expected,2024-10-02 19:21:21
REV000287,ORD0000491,4,Exactly what I needed,2023-12-25 06:56:54
REV000288,ORD0001132,5,Would buy again,2024-07-26 19:12:44
REV000289,ORD0000722,4,Not as expected,2023-09-14 16:06:45
REV000290,ORD0001378,4,Would buy again,2023-08-03 18:46:22
REV000291,ORD0001075,5,Would buy again,2023-12-19 19:29:07
REV000292,ORD0002196,5,Not as expected,2024-05-29 13:03:16
REV000293,ORD0000743,4,Fast delivery,2024-03-10 09:49:02
REV000294,ORD0001858,5,Poor quality,2023-08-02 14:06:41
REV000295,ORD0000406,3,,2023-05-12 09:37:40
REV000296,ORD0002292,2,,2024-02-14 02:58:32
REV000297,ORD0002406,5,Fast delivery,2023-04-30 15:02:03
REV000298,ORD0002927,4,Would buy again,2024-10-23 03:52:36
REV000299,ORD0000124,4,Exactly what I needed,2024-07-17 23:25:46
REV000300,ORD0001205,3,Not as expected,2023-06-23 00:59:09
REV000301,ORD0001308,5,Fast delivery,2024-07-06 04:45:41
REV000302,ORD0001876,5,,2024-01-19 05:35:28
REV000303,ORD0001614,5,,2023-06-19 17:28:54
REV000304,ORD0002390,3,,2024-05-08 03:31:30
REV000305,ORD0000733,5,Late delivery,2023-02-10 03:47:53
REV000306,ORD0000694,5,Poor quality,2024-11-05 19:01:55
REV000307,ORD0002314,5,Exactly what I needed,2024-01-19 21:29:29
REV000308,ORD0001744,4,Would buy again,2024-04-26 08:53:45
REV000309,ORD0000640,5,Poor quality,2023-08-23 18:06:03
REV000310,ORD0001459,4,Fast delivery,2024-07-26 06:07:02
REV000311,ORD0002300,5,Not as expected,2024-04-07 19:19:51
REV000312,ORD0001216,4,Great product,2024-04-25 07:22:41
REV000313,ORD0001946,4,Not as expected,2023-12-08 03:26:48
REV000314,ORD0002610,4,Great product,2024-06-27 03:08:33
REV000315,ORD0000076,3,Not as expected,2023-09-27 14:12:51
REV000316,ORD0002874,5,,2024-03-30 13:21:42
REV000317,ORD0000639,4,Would buy again,2023-02-12 00:01:09
REV000318,ORD0000473,4,Late delivery,2023-04-09 01:28:54
REV000319,ORD0001924,5,Late delivery,2024-06-04 22:28:37
REV000320,ORD0001750,1,Late delivery,2024-03-07 13:00:35
REV000321,ORD0002435,3,Late delivery,2023-06-27 01:13:08
REV000322,ORD0002608,4,Great product,2023-10-24 12:12:45
REV000323,ORD0002407,5,Would buy again,2024-03-18 17:48:19
REV000324,ORD0002425,4,Late delivery,2023-10-11 10:48:03
REV000325,ORD0001489,5,Not as expected,2023-09-13 04:14:00
REV000326,ORD0002557,5,Fast delivery,2023-08-13 02:27:49
REV000327,ORD0002719,5,Would buy again,2023-10-23 20:23:02
REV000328,ORD0002957,5,Would buy again,2023-08-07 05:42:46
REV000329,ORD0000925,4,Poor quality,2024-04-09 01:46:12
REV000330,ORD0000187,5,,2024-06-17 02:41:58
REV000331,ORD0001074,5,Great product,2024-07-24 22:36:41
REV000332,ORD0001097,4,Great product,2024-11-08 12:20:53
REV000333,ORD0000910,1,Late delivery,2023-11-15 01:36:41
REV000334,ORD0000354,4,Would buy again,2024-06-13 10:02:43
REV000335,ORD0002632,3,Late delivery,2024-07-24 11:44:29
REV000336,ORD0002499,3,Fast delivery,2024-09-20 08:51:35
REV000337,ORD0001917,4,Not as expected,2023-06-01 19:50:53
REV000338,ORD0001230,5,Great product,2023-09-14 14:48:53
REV000339,ORD0002778,3,Late delivery,2023-07-28 00:04:39
REV000340,ORD0001610,5,Not as expected,2024-04-26 09:26:28
REV000341,ORD0001012,5,,2024-07-27 15:31:43
REV000342,ORD0002642,5,Great product,2023-11-06 09:52:10
REV000343,ORD0002538,4,Poor quality,2023-09-04 20:27:12
REV000344,ORD0001476,4,,2024-04-18 03:26:40
REV000345,ORD0002905,3,Great product,2024-11-02 23:03:59
REV000346,ORD0000205,3,Not as expected,2024-10-21 16:02:55
REV000347,ORD0001964,3,Great product,2024-11-13 13:31:34
REV000348,ORD0000006,5,Would buy again,2023-09-01 02:41:48
REV000349,ORD0000171,5,Not as expected,2023-11-08 11:27:39
REV000350,ORD0002673,4,Poor quality,2024-02-11 06:22:46
REV000351,ORD0001820,4,,2023-01-02 11:32:38
REV000352,ORD0001175,5,Exactly what I needed,2024-04-21 09:08:44
REV000353,ORD0000252,5,Poor quality,2023-09-06 02:41:25
REV000354,ORD0001914,4,Poor quality,2023-05-24 04:21:32
REV000355,ORD0001001,4,Great product,2023-06-16 07:12:43
REV000356,ORD0000981,4,Poor quality,2023-04-27 05:12:02
REV000357,ORD0002328,5,,2023-09-23 06:55:37
REV000358,ORD0001997,5,Would buy again,2023-12-30 17:17:21
REV000359,ORD0000890,4,,2024-09-25 09:03:28
REV000360,ORD0001337,4,Fast delivery,2023-11-12 04:27:01
REV000361,ORD0000470,4,,2024-12-19 15:06:26
REV000362,ORD0000100,5,,2024-12-16 12:29:37
REV000363,ORD0002374,5,,2024-07-24 03:36:32
REV000364,ORD0002928,4,Would buy again,2023-08-25 03:03:27
REV000365,ORD0002377,3,,2023-03-12 04:13:25
REV000366,ORD0000819,5,Not as expected,2023-11-19 16:51:48
REV000367,ORD0000861,5,Would buy again,2024-03-17 19:15:04
REV000368,ORD0002812,5,Fast delivery,2024-10-25 17:53:54
REV000369,ORD0002133,5,Poor quality,2024-12-15 15:51:07
REV000370,ORD0001709,5,Exactly what I needed,2024-06-22 04:14:31
REV000371,ORD0002103,5,Would buy again,2024-09-25 18:23:55
REV000372,ORD0000984,5,Great product,2023-09-11 01:04:30
REV000373,ORD0002384,5,,2023-10-11 14:03:13
REV000374,ORD0002144,5,Exactly what I needed,2024-03-13 04:36:23
REV000375,ORD0001322,5,Exactly what I needed,2024-04-15 00:38:27
REV000376,ORD0002356,5,Not as expected,2024-08-15 02:51:53
REV000377,ORD0002992,2,Exactly what I needed,2023-03-29 11:55:24
REV000378,ORD0001045,5,Not as expected,2023-01-06 07:02:33
REV000379,ORD0001571,5,,2024-12-19 11:48:16
REV000380,ORD0002535,4,Fast delivery,2023-10-19 23:44:51
REV000381,ORD0000997,5,Great product,2023-09-30 16:46:22
REV000382,ORD0001608,5,Exactly what I needed,2023-12-16 05:31:13
REV000383,ORD0001541,2,,2023-05-30 11:17:14
REV000384,ORD0001593,5,Late delivery,2024-10-02 19:12:19
REV000385,ORD0000947,5,Late delivery,2024-04-02 08:32:19
REV000386,ORD0002389,4,,2023-02-25 06:58:09
REV000387,ORD0000274,5,Poor quality,2024-08-18 05:53:40
REV000388,ORD0002241,4,Great product,2023-05-29 02:54:35
REV000389,ORD0002353,5,,2024-07-27 11:12:54
REV000390,ORD0000204,4,Not as expected,2024-08-24 21:03:22
REV000391,ORD0000172,5,Would buy again,2024-10-04 02:42:37
REV000392,ORD0002386,4,,2023-02-05 11:42:35
REV000393,ORD0000481,4,Not as expected,2023-08-17 19:50:58
REV000394,ORD0002050,5,,2023-11-22 18:48:08
REV000395,ORD0000002,4,Great product,2023-02-14 13:06:36
REV000396,ORD0002809,5,,2023-11-11 22:20:47
REV000397,ORD0002866,4,Not as expected,2023-11-19 11:59:57
REV000398,ORD0002572,5,,2023-07-05 18:11:06
REV000399,ORD0000656,5,,2023-10-07 11:27:04
REV000400,ORD0000387,1,Exactly what I needed,2024-11-27 12:47:50
REV000401,ORD0002126,5,,2024-03-11 10:21:00
REV000402,ORD0002421,3,Would buy again,2023-10-09 13:43:23
REV000403,ORD0002561,4,Late delivery,2023-03-23 10:09:19
REV000404,ORD0001454,3,,2024-05-03 11:18:46
REV000405,ORD0000507,5,Exactly what I needed,2023-02-08 04:27:22
REV000406,ORD0001114,5,Fast delivery,2024-03-06 22:40:57
REV000407,ORD0000262,5,,2024-07-22 11:49:43
REV000408,ORD0002513,5,Fast delivery,2023-12-10 03:22:22
REV000409,ORD0002005,5,Exactly what I needed,2024-11-16 23:41:03
REV000410,ORD0000839,5,Late delivery,2023-08-30 10:46:57
REV000411,ORD0001137,4,Great product,2024-02-18 17:14:20
REV000412,ORD0002152,5,Great product,2023-07-17 23:56:29
REV000413,ORD0001607,5,Not as expected,2024-05-16 07:54:17
REV000414,ORD0000131,4,Great product,2024-01-10 09:30:09
REV000415,ORD0001850,5,Great product,2024-09-21 06:22:35
REV000416,ORD0002754,3,Would buy again,2024-05-13 17:02:23
REV000417,ORD0001862,5,Exactly what I needed,2024-11-21 10:19:13
REV000418,ORD0001993,3,Fast delivery,2024-07-30 08:28:42
REV000419,ORD0001281,1,Great product,2023-01-24 13:42:38
REV000420,ORD0001188,5,Exactly what I needed,2024-06-04 10:03:46
REV000421,ORD0001499,4,Would buy again,2024-04-09 02:20:10
REV000422,ORD0000074,4,Great product,2024-09-24 06:51:50
REV000423,ORD0001984,5,Would buy again,2023-08-05 15:06:27
REV000424,ORD0001487,5,Would buy again,2023-07-24 18:03:21
REV000425,ORD0001620,5,Fast delivery,2023-05-15 22:30:37
REV000426,ORD0002061,4,Late delivery,2023-01-07 14:47:06
REV000427,ORD0001749,4,Exactly what I needed,2023-05-30 12:40:21
REV000428,ORD0002247,5,,2023-04-14 23:49:01
REV000429,ORD0000108,5,Late delivery,2024-03-26 00:45:33
REV000430,ORD0001207,5,Poor quality,2023-05-03 06:54:44
REV000431,ORD0002007,5,Would buy again,2023-04-11 20:56:37
REV000432,ORD0002032,5,Would buy again,2024-03-21 11:50:44
