order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp
ORD0000018,CUST000572,shipped,28/04/2024 00:31,2024-04-29 08:31:48,
ORD0000019,CUST000472,canceled,2024-10-15 13:18:19,2024-10-16 23:18:19,
ORD0000020,CUST000073,delivered,2023-04-06 08:11:22,2023-04-07 08:11:22,2023-04-13 08:11:22
ORD0000021,CUST000043,delivered,2024-05-19 19:09:53,2024-05-21 01:09:53,2024-05-26 01:09:53
ORD0000022,CUST000615,delivered,2023-08-04 21:41:11,2023-08-06 11:41:11,2023-08-20 11:41:11
ORD0000023,CUST001014,delivered,05/08/2023 18:39,2023-08-07 10:39:39,2023-08-21 10:39:39
ORD0000024,CUST000421,delivered,2023-12-11 21:07:40,2023-12-12 00:07:40,2023-12-21 00:07:40
ORD0000025,CUST000064,delivered,2024-02-18 14:22:09,2024-02-18 18:22:09,2024-02-29 18:22:09
ORD0000026,CUST001889,delivered,2023-01-21 04:31:40,2023-01-22 19:31:40,2023-02-03 19:31:40
ORD0000027,CUST001550,delivered,08/08/2024 02:52,2024-08-09 16:52:19,2024-08-17 16:52:19
ORD0000028,CUST001773,shipped,2024-04-27 18:10:07,2024-04-28 22:10:07,
ORD0000029,CUST001653,shipped,2024-07-25 05:07:10,2024-07-25 09:07:10,
ORD0000030,CUST001758,delivered,2024-07-14 05:57:03,2024-07-16 01:57:03,2024-07-27 01:57:03
ORD0000031,CUST001574,delivered,2023-11-26 04:51:26,2023-11-27 17:51:26,2023-12-17 17:51:26
ORD0000032,CUST000270,delivered,2023-10-24 03:46:48,2023-10-25 09:46:48,2023-11-03 09:46:48
ORD0000033,CUST000511,delivered,2024-06-14 04:33:45,2024-06-14 22:33:45,2024-06-18 22:33:45
ORD0000034,CUST001260,delivered,2024-03-19 13:45:06,2024-03-20 15:45:06,2024-03-23 15:45:06
ORD0000035,CUST000254,delivered,2023-07-14 13:54:21,2023-07-16 07:54:21,2023-07-18 07:54:21
ORD0000036,CUST000908,delivered,2024-10-11 08:09:56,2024-10-12 01:09:56,2024-10-19 01:09:56
ORD0000037,CUST000983,delivered,2023-12-29 07:03:45,2023-12-29 10:03:45,2024-01-11 10:03:45
ORD0000038,CUST001922,delivered,14/11/2023 09:03,2023-11-14 13:03:32,2023-12-04 13:03:32
ORD0000039,CUST001952,canceled,04/03/2024 07:44,2024-03-05 04:44:00,
ORD0000040,CUST001779,delivered,2024-08-17 22:50:34,2024-08-18 16:50:34,2024-08-28 16:50:34
ORD0000041,CUST000476,delivered,2023-05-16 12:49:42,2023-05-16 22:49:42,2023-05-19 22:49:42
ORD0000042,CUST001187,delivered,2024-06-15 14:54:43,2024-06-16 23:54:43,2024-07-02 23:54:43
ORD0000043,CUST001997,delivered,2023-06-27 01:20:28,2023-06-27 05:20:28,2023-07-07 05:20:28
ORD0000044,CUST001471,delivered,28/10/2024 00:46,2024-10-28 23:46:40,2024-11-16 23:46:40
ORD0000045,CUST000908,delivered,2023-03-26 18:57:17,2023-03-26 23:57:17,2023-04-13 23:57:17
ORD0000046,CUST000760,delivered,2023-06-08 11:37:01,2023-06-09 08:37:01,2023-06-29 08:37:01
ORD0000047,CUST001793,delivered,2023-02-25 10:51:54,2023-02-27 04:51:54,2023-03-14 04:51:54
ORD0000048,CUST001997,delivered,2024-04-16 10:40:48,2024-04-17 10:40:48,2024-04-29 10:40:48
ORD0000049,CUST000328,delivered,2024-01-01 14:12:17,2024-01-02 09:12:17,2024-01-04 09:12:17
ORD0000050,CUST000217,delivered,2023-04-27 13:22:54,2023-04-29 03:22:54,2023-05-01 03:22:54
ORD0000051,CUST001599,processing,2024-02-01 17:55:48,2024-02-03 15:55:48,
ORD0000052,CUST001924,shipped,2024-07-07 16:18:18,2024-07-08 15:18:18,
ORD0000053,CUST001487,processing,2023-01-26 07:41:57,2023-01-28 02:41:57,
ORD0000054,CUST001956,shipped,19/05/2024 06:11,2024-05-19 12:11:25,
ORD0000055,CUST001031,canceled,2023-06-24 10:29:36,2023-06-25 23:29:36,
ORD0000056,CUST001501,delivered,2024-07-24 01:50:34,2024-07-25 04:50:34,2024-08-13 04:50:34
ORD0000057,CUST001243,processing,2024-09-11 23:37:47,2024-09-12 03:37:47,
ORD0000058,CUST000399,delivered,2023-12-09 13:09:37,2023-12-10 10:09:37,2023-12-20 10:09:37
ORD0000059,CUST001636,delivered,2023-07-09 13:01:48,2023-07-10 11:01:48,2023-07-19 11:01:48
ORD0000060,CUST001419,delivered,2023-12-21 01:07:21,2023-12-21 22:07:21,2023-12-26 22:07:21
ORD0000061,CUST000741,shipped,14/11/2024 16:36,2024-11-15 19:36:59,
ORD0000062,CUST001239,delivered,2023-03-01 09:00:54,2023-03-02 09:00:54,2023-03-19 09:00:54
ORD0000063,CUST001695,shipped,2023-06-28 11:05:54,2023-06-30 00:05:54,
ORD0000064,CUST001380,delivered,2024-02-22 13:53:12,2024-02-23 05:53:12,2024-03-09 05:53:12
ORD0000065,CUST000642,delivered,2023-07-22 03:57:04,2023-07-22 22:57:04,2023-08-03 22:57:04
ORD0000066,CUST001012,delivered,2024-01-28 06:21:56,2024-01-28 16:21:56,2024-02-17 16:21:56
ORD0000067,CUST001794,shipped,2024-11-29 22:50:19,2024-11-30 10:50:19,
ORD0000068,CUST001456,delivered,2023-11-22 03:44:48,2023-11-22 20:44:48,2023-12-11 20:44:48
ORD0000069,CUST001707,shipped,2023-04-09 04:13:42,2023-04-09 07:13:42,
ORD0000070,CUST001775,delivered,2023-02-26 17:05:34,2023-02-27 02:05:34,2023-03-17 02:05:34
ORD0000071,CUST000823,delivered,2023-11-25 01:20:11,2023-11-26 00:20:11,2023-12-02 00:20:11
ORD0000072,CUST001837,delivered,2023-08-16 21:13:16,2023-08-17 05:13:16,2023-08-29 05:13:16
ORD0000073,CUST002035,delivered,2024-04-17 20:03:40,2024-04-19 12:03:40,2024-04-24 12:03:40
ORD0000074,CUST001865,delivered,2024-12-16 03:32:02,2024-12-17 02:32:02,2025-01-02 02:32:02
ORD0000075,CUST001551,delivered,2024-10-10 09:53:13,2024-10-11 13:53:13,2024-10-22 13:53:13
ORD0000076,CUST001876,delivered,2023-05-23 11:46:13,2023-05-25 10:46:13,2023-06-14 10:46:13
ORD0000077,CUST001214,delivered,2023-04-29 06:15:53,2023-04-29 07:15:53,2023-05-19 07:15:53
ORD0000078,CUST000361,delivered,2023-10-22 16:03:17,2023-10-23 13:03:17,2023-11-08 13:03:17
ORD0000079,CUST000608,delivered,2024-08-23 09:52:56,2024-08-23 16:52:56,2024-09-01 16:52:56
ORD0000080,CUST001040,delivered,2024-02-07 02:12:38,2024-02-08 12:12:38,2024-02-28 12:12:38
ORD0000081,CUST001550,delivered,2023-09-08 17:25:46,2023-09-09 18:25:46,2023-09-21 18:25:46
ORD0000082,CUST000881,delivered,2024-09-24 05:49:14,2024-09-26 05:49:14,2024-10-04 05:49:14
ORD0000083,CUST000711,delivered,2024-04-23 01:19:55,2024-04-23 22:19:55,2024-04-28 22:19:55
ORD0000084,CUST000458,delivered,2023-08-01 16:54:21,2023-08-03 00:54:21,2023-08-19 00:54:21
ORD0000085,CUST001893,delivered,2024-12-13 19:02:19,2024-12-14 12:02:19,2024-12-19 12:02:19
ORD0000086,CUST001717,delivered,2023-03-16 13:07:21,2023-03-17 03:07:21,2023-04-05 03:07:21
ORD0000087,CUST001101,delivered,2024-04-09 18:49:36,2024-04-09 21:49:36,2024-04-28 21:49:36
ORD0000088,CUST000416,delivered,2024-10-08 15:00:30,2024-10-08 17:00:30,2024-10-21 17:00:30
ORD0000089,CUST000911,canceled,2023-11-28 06:35:02,2023-11-30 05:35:02,
ORD0000090,CUST001466,processing,2023-08-18 02:06:34,2023-08-18 10:06:34,
ORD0000091,CUST001010,processing,2023-12-12 04:18:38,2023-12-13 08:18:38,
ORD0000092,CUST001369,processing,2023-08-05 06:44:37,2023-08-07 05:44:37,
ORD0000093,CUST001489,delivered,03/03/2023 09:55,2023-03-05 09:55:01,2023-03-14 09:55:01
ORD0000094,CUST001291,delivered,2023-09-18 11:08:16,2023-09-19 05:08:16,2023-10-05 05:08:16
ORD0000095,CUST001827,delivered,2023-02-27 13:06:35,2023-03-01 11:06:35,2023-03-13 11:06:35
ORD0000096,CUST000650,delivered,2024-12-25 04:35:57,2024-12-27 02:35:57,2025-01-14 02:35:57
ORD0000097,CUST001943,delivered,2024-10-12 14:38:55,2024-10-14 07:38:55,2024-10-17 07:38:55
ORD0000098,CUST001786,delivered,2023-04-17 07:31:43,2023-04-18 21:31:43,2023-05-02 21:31:43
ORD0000099,CUST000992,delivered,2023-07-26 01:17:25,2023-07-27 08:17:25,2023-08-02 08:17:25
ORD0000100,CUST000406,shipped,2023-08-08 12:02:23,2023-08-08 21:02:23,
ORD0000101,CUST000006,delivered,2024-02-06 00:38:44,2024-02-07 23:38:44,2024-02-15 23:38:44
ORD0000102,CUST000079,delivered,2024-04-19 17:54:51,2024-04-20 07:54:51,2024-04-27 07:54:51
ORD0000103,CUST000480,delivered,2023-10-23 09:07:25,2023-10-25 02:07:25,2023-11-14 02:07:25
ORD0000104,CUST001721,delivered,2024-05-25 06:16:01,2024-05-25 18:16:01,2024-06-05 18:16:01
ORD0000105,CUST001224,delivered,2024-01-12 18:10:22,2024-01-14 02:10:22,2024-01-28 02:10:22
ORD0000106,CUST001972,delivered,2023-03-16 23:30:35,2023-03-17 14:30:35,2023-03-22 14:30:35
ORD0000107,CUST001985,shipped,2023-08-12 03:07:34,2023-08-13 06:07:34,
ORD0000108,CUST000951,delivered,2023-11-27 00:03:46,2023-11-27 08:03:46,2023-12-04 08:03:46
ORD0000109,CUST001443,delivered,2023-09-27 23:20:03,2023-09-29 20:20:03,2023-10-13 20:20:03
ORD0000110,CUST001230,canceled,2024-10-14 12:59:14,2024-10-15 20:59:14,
ORD0000111,CUST000440,delivered,2023-08-14 23:19:57,2023-08-15 17:19:57,2023-09-02 17:19:57
ORD0000112,CUST001580,shipped,2023-02-17 05:27:17,2023-02-18 17:27:17,
ORD0000113,CUST000870,delivered,2023-11-16 09:51:56,2023-11-17 11:51:56,2023-12-03 11:51:56
ORD0000114,CUST001491,canceled,2023-07-28 09:47:44,2023-07-29 17:47:44,
ORD0000115,CUST000839,delivered,2023-02-05 10:34:39,2023-02-06 06:34:39,2023-02-22 06:34:39
ORD0000116,CUST001596,processing,2024-02-21 08:00:30,2024-02-21 22:00:30,
ORD0000117,CUST000675,canceled,2024-04-21 08:48:52,2024-04-23 00:48:52,
ORD0000118,CUST000184,delivered,2024-07-14 23:19:09,2024-07-15 01:19:09,2024-07-29 01:19:09
ORD0000119,CUST001341,delivered,01/10/2023 22:48,2023-10-03 10:48:58,2023-10-07 10:48:58
ORD0000120,CUST001716,delivered,2024-02-20 21:56:02,2024-02-21 10:56:02,2024-02-28 10:56:02
ORD0000121,CUST001641,processing,2023-06-28 03:06:15,2023-06-28 22:06:15,
ORD0000122,CUST001501,delivered,2023-11-18 02:14:47,2023-11-18 16:14:47,2023-12-07 16:14:47
ORD0000123,CUST000209,delivered,2024-10-18 16:55:34,2024-10-18 18:55:34,2024-11-05 18:55:34
ORD0000124,CUST000579,shipped,2023-02-02 20:15:09,2023-02-03 07:15:09,
ORD0000125,CUST000069,delivered,2024-08-22 22:47:47,2024-08-24 19:47:47,2024-09-02 19:47:47
ORD0000126,CUST000268,delivered,2024-08-31 23:49:07,2024-09-02 00:49:07,2024-09-16 00:49:07
ORD0000127,CUST000156,processing,31/10/2024 12:32,2024-10-31 18:32:26,
ORD0000128,CUST000850,shipped,15/08/2024 03:54,2024-08-17 02:54:17,
ORD0000129,CUST001882,shipped,2024-02-25 17:58:54,2024-02-27 08:58:54,
ORD0000130,CUST000397,shipped,2024-09-07 15:30:28,2024-09-08 17:30:28,
ORD0000131,CUST000870,processing,2024-09-01 13:12:21,2024-09-02 10:12:21,
ORD0000132,CUST000204,delivered,2023-08-01 20:39:26,2023-08-03 02:39:26,2023-08-11 02:39:26
ORD0000133,CUST000879,delivered,2024-01-02 03:32:22,2024-01-03 04:32:22,2024-01-14 04:32:22
ORD0000134,CUST000989,invoiced,2024-03-11 17:43:41,2024-03-12 11:43:41,
ORD0000135,CUST000783,shipped,29/01/2024 11:35,2024-01-30 03:35:14,
ORD0000136,CUST001463,delivered,2023-11-02 18:04:40,2023-11-03 18:04:40,2023-11-22 18:04:40
ORD0000137,CUST000915,delivered,2023-01-20 08:01:05,2023-01-21 10:01:05,2023-01-30 10:01:05
ORD0000138,CUST000294,delivered,2024-05-14 07:00:23,2024-05-15 03:00:23,2024-05-27 03:00:23
ORD0000139,CUST000346,invoiced,2023-03-16 02:10:49,2023-03-17 14:10:49,
ORD0000140,CUST000171,canceled,2024-04-05 21:57:19,2024-04-06 13:57:19,
ORD0000141,CUST001557,delivered,2024-01-03 18:57:10,2024-01-05 04:57:10,2024-01-25 04:57:10
ORD0000142,CUST000637,shipped,2023-07-15 18:03:54,2023-07-16 21:03:54,
ORD0000143,CUST001411,processing,2023-01-29 08:35:25,2023-01-30 05:35:25,
ORD0000144,CUST001546,delivered,2023-01-05 07:51:55,2023-01-06 01:51:55,2023-01-14 01:51:55
ORD0000145,CUST000659,delivered,2024-01-24 05:14:08,2024-01-25 02:14:08,2024-02-03 02:14:08
ORD0000146,CUST001886,delivered,2024-03-06 22:21:23,2024-03-08 22:21:23,2024-03-12 22:21:23
ORD0000147,CUST000331,delivered,2023-10-19 19:17:44,2023-10-20 04:17:44,2023-10-22 04:17:44
ORD0000148,CUST000079,delivered,2023-06-03 07:11:56,2023-06-04 12:11:56,2023-06-09 12:11:56
ORD0000149,CUST000286,delivered,2024-05-01 08:33:35,2024-05-02 18:33:35,2024-05-19 18:33:35
ORD0000150,CUST000240,delivered,2023-11-07 05:27:40,2023-11-07 06:27:40,2023-11-18 06:27:40
ORD0000151,CUST001070,delivered,2024-12-17 02:46:13,2024-12-18 22:46:13,2024-12-28 22:46:13
ORD0000152,CUST000339,canceled,2024-03-13 22:11:14,2024-03-15 16:11:14,
ORD0000153,CUST001063,delivered,2023-06-08 19:26:41,2023-06-10 11:26:41,2023-06-23 11:26:41
ORD0000154,CUST000336,delivered,2023-06-13 14:11:16,2023-06-14 12:11:16,2023-06-20 12:11:16
ORD0000155,CUST000852,processing,2023-01-08 15:04:48,2023-01-09 12:04:48,
ORD0000156,CUST000408,delivered,2023-01-05 08:26:12,2023-01-06 04:26:12,2023-01-14 04:26:12
ORD0000157,CUST001279,delivered,2023-09-15 02:56:31,2023-09-15 09:56:31,2023-09-18 09:56:31
ORD0000158,CUST001809,delivered,2023-09-30 04:54:48,2023-10-01 21:54:48,2023-10-20 21:54:48
ORD0000159,CUST000582,delivered,2024-12-21 16:55:39,2024-12-22 05:55:39,2025-01-01 05:55:39
ORD0000160,CUST000626,processing,2024-03-29 23:16:49,2024-03-31 22:16:49,
ORD0000161,CUST001149,shipped,2024-12-26 16:45:43,2024-12-27 09:45:43,
ORD0000162,CUST000210,delivered,2023-03-02 04:15:34,2023-03-03 18:15:34,2023-03-09 18:15:34
ORD0000163,CUST000259,delivered,2023-07-24 05:30:44,2023-07-25 18:30:44,2023-07-30 18:30:44
ORD0000164,CUST001178,delivered,2024-08-18 00:17:16,2024-08-19 01:17:16,2024-08-31 01:17:16
ORD0000165,CUST000428,delivered,2023-08-04 08:04:53,2023-08-06 08:04:53,2023-08-23 08:04:53
ORD0000166,CUST001903,shipped,2023-06-18 02:47:54,2023-06-18 08:47:54,
ORD0000167,CUST000662,delivered,09/05/2023 00:26,2023-05-10 07:26:14,2023-05-12 07:26:14
ORD0000168,CUST001653,invoiced,2023-04-17 09:23:51,2023-04-18 18:23:51,
ORD0000169,CUST001556,delivered,2023-09-12 01:23:15,2023-09-12 21:23:15,2023-09-30 21:23:15
ORD0000170,CUST000727,delivered,2023-10-21 01:33:35,2023-10-22 02:33:35,2023-11-08 02:33:35
ORD0000171,CUST001956,delivered,2024-02-17 04:41:41,2024-02-17 10:41:41,2024-02-25 10:41:41
ORD0000172,CUST001720,delivered,2023-08-04 17:23:18,2023-08-06 15:23:18,2023-08-12 15:23:18
ORD0000173,CUST001142,delivered,2024-06-23 21:35:54,2024-06-24 14:35:54,2024-06-29 14:35:54
ORD0000174,CUST001751,delivered,2023-05-19 06:23:30,2023-05-19 08:23:30,2023-06-01 08:23:30
ORD0000175,CUST001263,delivered,2024-07-19 20:03:57,2024-07-21 00:03:57,2024-07-29 00:03:57
ORD0000176,CUST000783,invoiced,2024-12-30 15:49:06,2024-12-31 04:49:06,
ORD0000177,CUST000905,canceled,2023-01-09 06:56:54,2023-01-09 19:56:54,
ORD0000178,CUST000192,delivered,2024-03-31 07:20:38,2024-04-01 03:20:38,2024-04-13 03:20:38
ORD0000179,CUST001242,canceled,2024-01-26 12:44:50,2024-01-26 13:44:50,
ORD0000180,CUST000089,delivered,2024-05-13 09:40:17,2024-05-14 16:40:17,2024-05-28 16:40:17
ORD0000181,CUST000117,shipped,2023-08-01 22:58:14,2023-08-03 15:58:14,
ORD0000182,CUST001899,processing,2024-11-01 10:56:26,2024-11-03 08:56:26,
ORD0000183,CUST000969,delivered,2023-12-20 00:08:04,2023-12-21 08:08:04,2023-12-28 08:08:04
ORD0000184,CUST000756,delivered,28/02/2024 18:29,2024-02-29 01:29:06,2024-03-03 01:29:06
ORD0000185,CUST001507,canceled,2023-04-29 23:42:04,2023-05-01 21:42:04,
ORD0000186,CUST001708,processing,2023-03-06 07:57:46,2023-03-07 10:57:46,
ORD0000187,CUST000643,delivered,2024-05-10 03:27:14,2024-05-12 01:27:14,2024-05-15 01:27:14
ORD0000188,CUST000681,delivered,2024-10-24 05:09:58,2024-10-24 18:09:58,2024-10-26 18:09:58
ORD0000189,CUST000346,processing,2023-09-03 19:37:12,2023-09-05 17:37:12,
ORD0000190,CUST001926,delivered,2023-10-12 11:31:02,2023-10-13 21:31:02,2023-10-15 21:31:02
ORD0000191,CUST000133,delivered,2024-06-02 15:14:55,2024-06-04 10:14:55,2024-06-07 10:14:55
ORD0000192,CUST000546,shipped,2023-04-25 13:51:33,2023-04-27 12:51:33,
ORD0000193,CUST001410,delivered,2023-08-03 00:10:00,2023-08-04 15:10:00,2023-08-12 15:10:00
ORD0000194,CUST000560,delivered,2024-08-03 01:53:27,2024-08-03 02:53:27,2024-08-14 02:53:27
ORD0000195,CUST001159,delivered,2023-12-29 03:34:20,2023-12-30 16:34:20,2024-01-03 16:34:20
ORD0000196,CUST001494,delivered,2024-12-14 00:58:01,2024-12-14 06:58:01,2024-12-21 06:58:01
ORD0000197,CUST001615,delivered,01/05/2024 17:08,2024-05-01 19:08:07,2024-05-08 19:08:07
ORD0000198,CUST000630,delivered,2023-12-24 13:31:45,2023-12-24 19:31:45,2024-01-02 19:31:45
ORD0000199,CUST000635,delivered,01/12/2024 04:47,2024-12-01 17:47:24,2024-12-07 17:47:24
ORD0000200,CUST000287,shipped,2023-05-19 06:14:08,2023-05-20 00:14:08,
ORD0000201,CUST001809,delivered,2024-10-10 18:39:34,2024-10-11 07:39:34,2024-10-21 07:39:34
ORD0000202,CUST000900,invoiced,2023-07-21 10:42:38,2023-07-23 07:42:38,
ORD0000203,CUST001581,delivered,2024-03-25 11:40:42,2024-03-26 11:40:42,2024-04-08 11:40:42
ORD0000204,CUST000075,delivered,2024-05-05 03:11:05,2024-05-06 23:11:05,2024-05-13 23:11:05
ORD0000205,CUST000431,delivered,2023-05-01 22:32:13,2023-05-03 09:32:13,2023-05-23 09:32:13
ORD0000206,CUST000424,delivered,2024-05-16 18:27:41,2024-05-18 14:27:41,2024-05-29 14:27:41
ORD0000207,CUST001626,invoiced,2024-03-04 10:46:41,2024-03-06 10:46:41,
ORD0000208,CUST000957,delivered,2023-06-13 16:08:33,2023-06-14 09:08:33,2023-06-22 09:08:33
ORD0000209,CUST001292,canceled,2024-02-06 14:08:03,2024-02-08 09:08:03,
ORD0000210,CUST001154,delivered,2024-03-31 19:07:54,2024-04-01 16:07:54,2024-04-14 16:07:54
ORD0000211,CUST001289,delivered,2023-01-27 07:00:20,2023-01-28 04:00:20,2023-02-02 04:00:20
ORD0000212,CUST000973,canceled,2023-05-04 07:19:25,2023-05-05 10:19:25,
ORD0000213,CUST000627,delivered,2023-03-19 20:00:24,2023-03-20 08:00:24,2023-04-02 08:00:24
ORD0000214,CUST001657,delivered,2024-08-07 03:08:17,2024-08-07 05:08:17,2024-08-23 05:08:17
ORD0000215,CUST000969,delivered,2024-06-23 10:23:21,2024-06-24 14:23:21,2024-07-08 14:23:21
ORD0000216,CUST000988,delivered,2023-10-17 21:13:39,2023-10-19 12:13:39,2023-10-31 12:13:39
ORD0000217,CUST000220,delivered,2024-12-22 13:37:12,2024-12-23 04:37:12,2025-01-10 04:37:12
ORD0000218,CUST001214,shipped,24/03/2024 13:09,2024-03-25 15:09:23,
ORD0000219,CUST000406,delivered,2024-12-17 09:55:02,2024-12-18 05:55:02,2025-01-05 05:55:02
ORD0000220,CUST001614,delivered,2023-04-19 09:23:08,2023-04-19 18:23:08,2023-05-01 18:23:08
ORD0000221,CUST001641,invoiced,2023-08-29 05:16:35,2023-08-29 15:16:35,
ORD0000222,CUST000410,delivered,2023-12-24 17:58:39,2023-12-24 18:58:39,2023-12-30 18:58:39
ORD0000223,CUST001756,delivered,2023-03-04 10:18:13,2023-03-04 22:18:13,2023-03-13 22:18:13
ORD0000224,CUST001731,delivered,2023-07-10 02:08:41,2023-07-10 12:08:41,2023-07-29 12:08:41
ORD0000225,CUST000964,delivered,2023-05-04 18:07:22,2023-05-05 17:07:22,2023-05-10 17:07:22
ORD0000226,CUST001702,delivered,2023-06-15 01:08:08,2023-06-16 08:08:08,2023-06-30 08:08:08
ORD0000227,CUST000263,delivered,2024-12-13 05:10:55,2024-12-13 12:10:55,2024-12-27 12:10:55
ORD0000228,CUST001839,canceled,2023-11-07 14:22:11,2023-11-08 11:22:11,
ORD0000229,CUST001093,delivered,08/11/2024 20:00,2024-11-10 00:00:18,2024-11-24 00:00:18
ORD0000230,CUST000454,delivered,2024-07-29 02:35:56,2024-07-30 16:35:56,2024-08-01 16:35:56
ORD0000231,CUST000696,delivered,2023-07-02 15:39:18,2023-07-03 15:39:18,2023-07-16 15:39:18
ORD0000232,CUST001322,delivered,2024-04-10 09:20:30,2024-04-11 11:20:30,2024-04-15 11:20:30
ORD0000233,CUST000891,delivered,2023-02-04 08:50:27,2023-02-04 22:50:27,2023-02-15 22:50:27
ORD0000234,CUST000583,delivered,2023-05-20 17:07:30,2023-05-21 21:07:30,2023-05-27 21:07:30
ORD0000235,CUST001963,delivered,2024-01-09 08:00:13,2024-01-09 11:00:13,2024-01-19 11:00:13
ORD0000236,CUST001708,delivered,2023-11-06 07:17:12,2023-11-08 03:17:12,2023-11-26 03:17:12
ORD0000237,CUST001500,processing,2023-09-26 23:15:18,2023-09-28 19:15:18,
ORD0000238,CUST000329,processing,2024-09-16 03:15:44,2024-09-16 04:15:44,
ORD0000239,CUST000023,delivered,2023-10-26 06:05:51,2023-10-28 02:05:51,2023-11-13 02:05:51
ORD0000240,CUST001579,invoiced,09/11/2023 00:17,2023-11-10 04:17:38,
ORD0000241,CUST001236,delivered,2024-07-30 09:05:39,2024-08-01 02:05:39,2024-08-06 02:05:39
ORD0000242,CUST001599,canceled,2024-01-25 23:06:22,2024-01-26 23:06:22,
ORD0000243,CUST001608,delivered,2024-02-20 13:34:23,2024-02-21 13:34:23,2024-02-26 13:34:23
ORD0000244,CUST000307,delivered,13/08/2024 00:10,2024-08-14 01:10:16,2024-08-18 01:10:16
ORD0000245,CUST000528,canceled,2024-07-03 13:57:44,2024-07-05 03:57:44,
ORD0000246,CUST000890,processing,19/07/2024 03:58,2024-07-20 09:58:59,
ORD0000247,CUST000751,delivered,05/04/2023 09:52,2023-04-06 17:52:59,2023-04-22 17:52:59
ORD0000248,CUST000691,delivered,2023-10-14 20:11:03,2023-10-15 13:11:03,2023-10-30 13:11:03
ORD0000249,CUST000547,shipped,2023-01-19 06:38:14,2023-01-20 17:38:14,
ORD0000250,CUST000609,delivered,2023-01-14 14:34:39,2023-01-15 19:34:39,2023-01-27 19:34:39
ORD0000251,CUST001088,delivered,2023-10-05 11:31:11,2023-10-07 10:31:11,2023-10-10 10:31:11
ORD0000252,CUST000258,delivered,2023-03-07 06:44:49,2023-03-08 17:44:49,2023-03-13 17:44:49
ORD0000253,CUST001990,delivered,2023-12-01 20:17:47,2023-12-02 14:17:47,2023-12-15 14:17:47
ORD0000254,CUST001165,delivered,2024-12-14 15:12:35,2024-12-16 14:12:35,2025-01-03 14:12:35
ORD0000255,CUST001247,delivered,2023-10-17 13:24:31,2023-10-17 16:24:31,2023-10-23 16:24:31
ORD0000256,CUST001049,delivered,2024-11-16 02:21:33,2024-11-16 09:21:33,2024-11-30 09:21:33
ORD0000257,CUST000865,delivered,2024-12-21 08:44:41,2024-12-23 01:44:41,2025-01-03 01:44:41
ORD0000258,CUST001713,delivered,2024-08-03 00:44:47,2024-08-03 17:44:47,2024-08-07 17:44:47
ORD0000259,CUST001169,invoiced,2024-09-08 10:36:40,2024-09-08 23:36:40,
ORD0000260,CUST001421,delivered,2024-02-04 06:23:31,2024-02-05 17:23:31,2024-02-14 17:23:31
ORD0000261,CUST000562,delivered,2024-01-03 07:50:16,2024-01-03 21:50:16,2024-01-18 21:50:16
ORD0000262,CUST001375,shipped,04/08/2023 00:55,2023-08-05 09:55:44,
ORD0000263,CUST000558,delivered,21/05/2023 18:56,2023-05-23 14:56:20,2023-06-03 14:56:20
ORD0000264,CUST000562,delivered,2024-08-30 10:28:45,2024-08-31 13:28:45,2024-09-06 13:28:45
