product_id,product_category,weight_g,length_cm,height_cm,width_cm
PROD00077,pet_shop,3241,6,23,44
PROD00078,garden_tools,2906,68,17,63
PROD00079,sports_leisure,9736,25,13,40
PROD00080,computers_accessories,2973,14,27,95
PROD00081,office_supplies,15557,37,61,88
PROD00082,auto_parts,4112,77,67,10
PROD00083,sports_leisure,13187,57,84,92
PROD00084,furniture,16842,84,45,52
PROD00085,home_appliances,16628,62,38,92
PROD00086,electronics,1919,99,36,94
PROD00087,musical_instruments,5114,18,42,53
PROD00088,furniture,2441,33,54,64
PROD00089,pet_shop,15315,64,87,73
PROD00090,auto_parts,3625,15,28,98
PROD00091,home_appliances,13057,60,30,56
PROD00092,sports_leisure,11270,82,67,32
PROD00093,baby_products,3796,40,63,9
PROD00094,garden_tools,15449,23,86,32
PROD00095,sports_leisure,19746,53,12,51
PROD00096,office_supplies,15562,32,11,32
PROD00097,musical_instruments,,37,86,27
PROD00098,home_appliances,9025,56,15,43
PROD00099,musical_instruments,13803,72,32,90
PROD00100,auto_parts,1811,16,59,48
PROD00101,office_supplies,6557,49,58,66
PROD00102,fashion_clothing,5315,94,60,50
PROD00103,auto_parts,12801,6,76,81
PROD00104,toys,19005,83,23,46
PROD00105,pet_shop,10421,6,24,63
PROD00106,auto_parts,10418,19,91,57
PROD00107,books,170,62,21,86
PROD00108,fashion_clothing,19002,17,9,32
PROD00109,baby_products,13818,94,74,26
PROD00110,computers_accessories,11456,31,29,91
PROD00111,computers_accessories,12182,51,7,43
PROD00112,auto_parts,4137,94,68,88
PROD00113,fashion_clothing,11575,50,74,59
PROD00114,garden_tools,11054,19,27,63
PROD00115,beauty_health,18162,81,25,74
PROD00116,beauty_health,14385,86,41,94
PROD00117,computers_accessories,3301,16,18,16
PROD00118,pet_shop,13526,68,100,84
PROD00119,auto_parts,14602,69,79,9
PROD00120,pet_shop,13833,32,33,63
PROD00121,garden_tools,6458,65,20,49
PROD00122,office_supplies,13581,87,95,99
PROD00123,beauty_health,12326,69,41,39
PROD00124,auto_parts,10122,58,91,35
PROD00125,electronics,13634,9,6,8
PROD00126,furniture,17055,99,81,45
PROD00127,sports_leisure,18799,60,35,76
PROD00128,beauty_health,12938,11,78,59
PROD00129,furniture,12843,98,27,56
PROD00130,auto_parts,5241,60,34,17
PROD00131,baby_products,16573,20,85,78
PROD00132,office_supplies,8577,75,25,46
PROD00133,toys,890,60,6,85
PROD00134,office_supplies,961,84,95,74
PROD00135,auto_parts,18786,53,8,100
PROD00136,baby_products,14917,86,85,50
PROD00137,furniture,7316,43,29,73
PROD00138,musical_instruments,12439,38,89,11
PROD00139,books,4761,85,7,86
PROD00140,computers_accessories,3685,63,81,20
PROD00141,home_appliances,8635,28,16,14
PROD00142,fashion_clothing,6864,55,17,67
PROD00143,office_supplies,,85,14,31
PROD00144,pet_shop,10325,86,62,25
PROD00145,furniture,5904,89,77,85
PROD00146,computers_accessories,3890,48,49,66
PROD00147,computers_accessories,214,25,71,99
PROD00148,books,6369,82,8,73
PROD00149,electronics,5042,32,51,19
PROD00150,auto_parts,10782,22,33,15
PROD00151,baby_products,4197,39,40,66
PROD00152,toys,11471,95,75,88
PROD00153,books,16296,60,70,56
PROD00154,auto_parts,5717,30,92,96
PROD00155,books,3421,79,80,44
PROD00156,furniture,16035,60,62,59
PROD00157,computers_accessories,10494,84,18,82
PROD00158,beauty_health,18634,50,52,85
PROD00159,musical_instruments,5530,9,70,37
PROD00160,computers_accessories,19838,87,72,50
PROD00161,beauty_health,,59,28,50
PROD00162,toys,12228,52,23,45
PROD00163,home_appliances,,32,64,77
PROD00164,office_supplies,7673,76,13,54
PROD00165,books,17327,32,18,76
PROD00166,books,2501,78,87,58
PROD00167,pet_shop,10463,45,30,30
PROD00168,electronics,16389,10,40,58
PROD00169,home_appliances,5657,81,46,80
PROD00170,beauty_health,746,41,7,87
PROD00171,office_supplies,202,64,41,21
PROD00172,musical_instruments,1262,73,72,10
PROD00173,sports_leisure,2325,65,17,58
PROD00174,baby_products,10443,49,56,15
PROD00175,garden_tools,16231,83,11,55
PROD00176,books,14945,68,87,20
PROD00177,musical_instruments,3416,8,33,11
PROD00178,musical_instruments,,93,97,60
PROD00179,toys,6313,97,52,73
PROD00180,electronics,1770,38,10,19
PROD00181,electronics,2508,38,47,93
PROD00182,computers_accessories,12487,39,94,26
PROD00183,auto_parts,15146,20,21,45
PROD00184,musical_instruments,19190,57,86,62
PROD00185,pet_shop,17338,35,78,66
PROD00186,pet_shop,9242,46,98,66
PROD00187,toys,9757,96,15,50
PROD00188,garden_tools,7992,89,87,99
PROD00189,musical_instruments,2606,14,68,12
PROD00190,toys,,54,29,67
PROD00191,home_appliances,19400,72,70,45
PROD00192,office_supplies,14927,88,24,69
PROD00193,home_appliances,7219,51,54,62
PROD00194,musical_instruments,6702,56,29,13
PROD00195,books,10114,78,87,18
PROD00196,furniture,3561,100,19,35
PROD00197,electronics,6178,39,8,65
PROD00198,pet_shop,11582,38,20,75
PROD00199,home_appliances,6998,24,55,69
PROD00200,beauty_health,1791,61,39,52
PROD00201,home_appliances,,29,42,29
PROD00202,beauty_health,9091,72,82,68
PROD00203,garden_tools,1684,87,36,19
PROD00204,toys,1219,78,39,35
PROD00205,home_appliances,9076,33,84,94
PROD00206,baby_products,12924,17,33,98
PROD00207,musical_instruments,8840,68,31,26
PROD00208,office_supplies,9486,95,81,41
PROD00209,baby_products,,99,44,93
PROD00210,toys,2325,26,28,47
PROD00211,auto_parts,467,90,65,59
PROD00212,sports_leisure,8695,26,91,6
PROD00213,computers_accessories,15576,79,5,67
PROD00214,musical_instruments,3634,10,7,77
PROD00215,pet_shop,7530,72,69,26
PROD00216,office_supplies,3127,17,43,99
PROD00217,sports_leisure,11544,74,37,89
PROD00218,fashion_clothing,15082,6,50,43
PROD00219,baby_products,17018,89,81,66
PROD00220,home_appliances,17066,98,86,7
PROD00221,furniture,7267,89,23,50
PROD00222,fashion_clothing,,51,31,100
PROD00223,home_appliances,12429,86,18,40
PROD00224,auto_parts,17905,62,72,27
PROD00225,books,11480,47,55,80
PROD00226,beauty_health,9102,44,29,10
PROD00227,computers_accessories,11298,83,20,60
PROD00228,office_supplies,11420,41,19,6
PROD00229,fashion_clothing,4871,64,92,24
PROD00230,garden_tools,18339,90,25,43
PROD00231,fashion_clothing,9707,6,63,10
PROD00232,toys,19483,20,11,67
PROD00233,books,11592,11,37,22
PROD00234,sports_leisure,16499,90,76,24
PROD00235,home_appliances,4724,98,30,60
PROD00236,computers_accessories,9579,33,9,65
PROD00237,auto_parts,12706,59,56,17
PROD00238,auto_parts,9946,81,44,27
PROD00239,computers_accessories,10617,79,22,92
PROD00240,office_supplies,4496,58,75,30
PROD00241,books,9793,77,85,64
PROD00242,garden_tools,14366,17,22,72
PROD00243,fashion_clothing,16559,92,96,50
PROD00244,fashion_clothing,15337,58,57,64
PROD00245,electronics,915,58,16,22
PROD00246,computers_accessories,8001,79,70,52
PROD00247,furniture,18582,42,11,55
PROD00248,furniture,245,64,71,63
PROD00249,musical_instruments,1842,39,88,18
PROD00250,sports_leisure,9571,77,66,93
PROD00251,sports_leisure,4029,99,79,91
PROD00252,garden_tools,1787,94,31,71
PROD00253,furniture,16280,22,33,91
PROD00254,pet_shop,9909,85,44,97
PROD00255,auto_parts,15941,19,13,5
PROD00256,furniture,4016,71,17,36
PROD00257,toys,857,69,61,55
PROD00258,electronics,9877,56,66,28
PROD00259,musical_instruments,17964,38,83,92
PROD00260,fashion_clothing,4086,60,23,86
PROD00261,electronics,7936,26,70,99
PROD00262,baby_products,15652,66,42,42
PROD00263,pet_shop,19342,68,52,90
PROD00264,books,3567,64,58,59
PROD00265,furniture,15027,77,54,6
PROD00266,computers_accessories,14614,10,50,22
PROD00267,fashion_clothing,15069,40,6,25
PROD00268,sports_leisure,16539,31,49,95
PROD00269,garden_tools,2106,27,88,24
PROD00270,sports_leisure,18503,48,63,96
PROD00271,musical_instruments,9170,89,43,55
PROD00272,home_appliances,15901,53,65,82
PROD00273,pet_shop,16662,89,72,38
PROD00274,furniture,19345,79,49,79
PROD00275,computers_accessories,2264,10,8,98
PROD00276,furniture,3530,68,91,65
PROD00277,sports_leisure,7803,18,27,98
PROD00278,auto_parts,13814,13,12,83
PROD00279,books,2438,61,52,82
PROD00280,pet_shop,5753,46,18,94
PROD00281,fashion_clothing,18851,76,30,30
PROD00282,books,9424,33,30,99
PROD00283,furniture,17368,29,16,79
PROD00284,electronics,3202,31,9,22
PROD00285,auto_parts,13420,48,28,92
PROD00286,baby_products,17356,68,29,31
PROD00287,computers_accessories,16461,50,50,84
PROD00288,auto_parts,4567,13,61,59
PROD00289,pet_shop,2372,77,15,21
PROD00290,office_supplies,3356,20,68,34
PROD00291,electronics,10893,7,33,42
PROD00292,auto_parts,12843,95,50,13
PROD00293,musical_instruments,9489,14,73,78
PROD00294,toys,16435,44,56,84
PROD00295,electronics,3683,79,65,38
PROD00296,pet_shop,,38,30,47
PROD00297,auto_parts,4614,31,75,98
PROD00298,sports_leisure,2092,35,68,14
PROD00299,office_supplies,1208,49,14,58
